epoch,accuracy,loss,val_accuracy,val_loss
0,0.19750000536441803,1.9232423305511475,0.23906250298023224,1.8295162916183472
1,0.23718750476837158,1.843314528465271,0.28687500953674316,1.7842705249786377
2,0.2906250059604645,1.7631648778915405,0.36000001430511475,1.6934707164764404
3,0.3304687440395355,1.6956970691680908,0.41093748807907104,1.5657408237457275
4,0.34673529863357544,1.661010980606079,0.41749998927116394,1.5578161478042603
5,0.3659375011920929,1.5975054502487183,0.44968751072883606,1.4629249572753906
6,0.38968750834465027,1.5629316568374634,0.47843751311302185,1.3776816129684448
7,0.41999998688697815,1.4681915044784546,0.4831250011920929,1.3542851209640503
8,0.4402949810028076,1.405282974243164,0.5056250095367432,1.303486943244934
9,0.4477040767669678,1.4331660270690918,0.5009375214576721,1.2771737575531006
10,0.4703125059604645,1.403563380241394,0.510937511920929,1.2832304239273071
11,0.4817197620868683,1.3535302877426147,0.5215625166893005,1.2411459684371948
12,0.49046874046325684,1.3073289394378662,0.53125,1.2289397716522217
13,0.48750001192092896,1.3113949298858643,0.5525000095367432,1.1822978258132935
14,0.5194515585899353,1.2303674221038818,0.5450000166893005,1.200919508934021
15,0.5090625286102295,1.2970154285430908,0.5553125143051147,1.1806190013885498
16,0.520312488079071,1.2136012315750122,0.5628125071525574,1.136812686920166
17,0.5203201174736023,1.2264772653579712,0.5575000047683716,1.1459709405899048
18,0.530468761920929,1.2203972339630127,0.5718749761581421,1.107153058052063
19,0.5401785969734192,1.1561996936798096,0.5603125095367432,1.1487687826156616
20,0.5400910377502441,1.155003309249878,0.5774999856948853,1.126721739768982
21,0.5423437356948853,1.1476730108261108,0.5975000262260437,1.0726430416107178
22,0.54296875,1.1658633947372437,0.5921875238418579,1.0740060806274414
23,0.5525000095367432,1.1338533163070679,0.6012499928474426,1.0668319463729858
24,0.5404974222183228,1.139349102973938,0.5884374976158142,1.065415859222412
25,0.5679687261581421,1.1178075075149536,0.606249988079071,1.0698435306549072
26,0.5625,1.106768012046814,0.5934374928474426,1.0745012760162354
27,0.5741409063339233,1.074629306793213,0.6087499856948853,1.0560154914855957
28,0.5681250095367432,1.0977232456207275,0.6003124713897705,1.0594323873519897
29,0.5819515585899353,1.0478849411010742,0.6118749976158142,1.04443359375
30,0.5895183086395264,1.0422950983047485,0.6146875023841858,1.0177416801452637
31,0.589062511920929,1.0519994497299194,0.6090624928474426,1.0594077110290527
32,0.5856249928474426,1.0456427335739136,0.6181250214576721,1.0309233665466309
33,0.5817187428474426,1.0755729675292969,0.6081249713897705,1.076876163482666
34,0.5918367505073547,1.0257785320281982,0.6121875047683716,1.0277032852172852
35,0.5940625071525574,1.0317302942276,0.6143749952316284,1.035732626914978
36,0.5962499976158142,0.9980179667472839,0.6396874785423279,0.9670636653900146
37,0.6074062585830688,1.013033151626587,0.6196874976158142,1.0300909280776978
38,0.6081249713897705,0.999813437461853,0.6287500262260437,1.021794319152832
39,0.6135203838348389,0.999846875667572,0.620312511920929,1.0280452966690063
40,0.6029687523841858,0.9998250603675842,0.625,1.0129274129867554
41,0.6069355010986328,0.9749714732170105,0.6321874856948853,0.9818859696388245
42,0.616406261920929,0.9772377610206604,0.643750011920929,0.9701184034347534
