epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.21847787499427795,9.999999747378752e-05,12.45995807647705,0.2518725097179413,11.977100372314453
1,0.2426854819059372,9.999999747378752e-05,10.19886302947998,0.24699530005455017,9.577239036560059
2,0.2514803111553192,9.999999747378752e-05,8.080452919006348,0.262149453163147,7.42264461517334
3,0.2517850995063782,9.999999747378752e-05,6.272025108337402,0.2468211054801941,5.628077507019043
4,0.25940439105033875,9.999999747378752e-05,4.874220848083496,0.2600592374801636,4.428083896636963
5,0.26471611857414246,9.999999747378752e-05,3.8540735244750977,0.27556174993515015,3.478217601776123
6,0.2733803689479828,9.999999747378752e-05,3.146749258041382,0.22975091636180878,2.9131646156311035
7,0.28774815797805786,9.999999747378752e-05,2.6629104614257812,0.2800905704498291,2.517735719680786
8,0.3032044470310211,9.999999747378752e-05,2.345684766769409,0.31614699959754944,2.230073928833008
9,0.3388627767562866,9.999999747378752e-05,2.1113927364349365,0.35742902755737305,2.0383517742156982
10,0.3779606521129608,9.999999747378752e-05,1.947773814201355,0.372060626745224,1.9999401569366455
11,0.40961337089538574,9.999999747378752e-05,1.8193254470825195,0.4257098138332367,1.7458581924438477
12,0.43338558077812195,9.999999747378752e-05,1.7253739833831787,0.45323115587234497,1.6812087297439575
13,0.44949495792388916,9.999999747378752e-05,1.653541088104248,0.466295063495636,1.5969330072402954
14,0.4698711335659027,9.999999747378752e-05,1.5916330814361572,0.46350809931755066,1.6059569120407104
15,0.48049458861351013,9.999999747378752e-05,1.5544201135635376,0.4800557494163513,1.5834177732467651
16,0.49281609058380127,9.999999747378752e-05,1.5200564861297607,0.5007838606834412,1.5058022737503052
17,0.5085335969924927,9.999999747378752e-05,1.48476243019104,0.4831910729408264,1.571387767791748
18,0.5124521255493164,9.999999747378752e-05,1.4658091068267822,0.4356383979320526,1.6077741384506226
19,0.5192441940307617,9.999999747378752e-05,1.4358832836151123,0.5185507535934448,1.4254359006881714
20,0.5290403962135315,9.999999747378752e-05,1.4147720336914062,0.5213377475738525,1.4404058456420898
21,0.5295628905296326,9.999999747378752e-05,1.4061665534973145,0.4922487437725067,1.4481513500213623
22,0.5380529165267944,9.999999747378752e-05,1.3891078233718872,0.5389304757118225,1.3792916536331177
23,0.5460205674171448,9.999999747378752e-05,1.3752119541168213,0.5185507535934448,1.4235278367996216
24,0.5488941073417664,9.999999747378752e-05,1.3566663265228271,0.5406723618507385,1.3533236980438232
25,0.5525078177452087,9.999999747378752e-05,1.3472514152526855,0.5547813773155212,1.3534542322158813
26,0.5532479882240295,9.999999747378752e-05,1.3382004499435425,0.5528653264045715,1.346748948097229
27,0.5564263463020325,9.999999747378752e-05,1.3310314416885376,0.5619230270385742,1.317676305770874
28,0.561825156211853,9.999999747378752e-05,1.3209611177444458,0.5493816137313843,1.3695120811462402
29,0.5667014718055725,9.999999747378752e-05,1.3117774724960327,0.5472913980484009,1.3536142110824585
30,0.5633054971694946,9.999999747378752e-05,1.305476188659668,0.5553039312362671,1.3375500440597534
